absolute direction | a definite direction that never changes
job clustering | the concentration of employment opportunities in specific industries within a region
job density heat maps | visual tools showing concentrations of employment opportunities within metropolitan regions
job-housing balance | the ratio of jobs to housing in an area, affecting commuting patterns and urban planning
Johann Heinrich von Thünen | a German scholar-farmer who developed the core-periphery model in the nineteenth century
John Borchert | a geographer who developed Borchert's transportation model
joint urban planning | collaborative planning efforts between multiple municipalities or regions for coordinated development
Judaism | a monotheistic religion from the Hebrew Bible, emphasizing a covenant with God
judicial cartography | the mapping of legal jurisdictions and their spatial implications
judicial geography | the study of how legal systems and court rulings impact spatial organization and land use
judicial geopolitics | the influence of legal systems and court decisions on international and regional political boundaries
judicial urbanism | the influence of legal frameworks on urban planning and development
junction cities | urban centers located at the intersection of major transportation routes or networks
junction settlement | a settlement located at the intersection of major transportation routes
junctional urbanism | urban development occurring at the intersection of major transportation or trade routes
jurisdictional boundaries | legal boundaries defining the area of authority for a governmental or administrative entity
jurisprudential geography | the study of how legal systems and laws are influenced by geographic factors and spatial relationships
just-in-time delivery | a system in which the inputs in the assembly process arrive at the assembly location when they are needed
juvenile crime geographies | spatial patterns of youth-related criminal activities influenced by socioeconomic factors
juvenile urbanization | the phenomenon of cities experiencing rapid growth in their youth population
juxtaposed borders | legal arrangements that allow one country to operate border controls within another country's territory
juxtaposition | the placement of two or more elements side by side to highlight differences or similarities
karma | the idea that behaviors have consequences in the present life or a future life
karst aquifers | underground water reservoirs in limestone regions that are vital for human settlements but vulnerable to contamination
karst hydrology | the study of water movement in limestone regions characterized by caves, sinkholes, and underground streams
karst topography settlements | communities located in areas with limestone landscapes characterized by caves and sinkholes
Kartvelian languages | a language family primarily spoken in Georgia, including Georgian, known for its unique script and phonetics
Kaur | a common last name meaning "princess," adopted by Sikh women as a mark of dignity and equality
Kazakh | a Turkic language spoken in Kazakhstan, known for its rich oral traditions and use of Cyrillic script
key biodiversity areas | regions identified as priorities for conservation due to their unique species or ecosystems (AKA KBAs)
keystone species geography | the study of how the presence or absence of key species shapes ecosystems and human activity
Khmer | an Austro-Asiatic language spoken in Cambodia, recognized for its unique script and cultural heritage
kidnapping | moving an area where an elected representative has support to an area where they do not
kinetic migration model | a theoretical framework explaining migration as a dynamic process influenced by multiple factors over time
kinship links | networks of relatives and friends
kinship migration | migration motivated by family ties, where individuals move to join relatives in a new location
kinship networks | social connections based on family ties that influence migration and settlement patterns
kinship system | the social structure that defines relationships among individuals based on bloodlines, marriage, or other forms of social connections
knowledge economy | a system of consumption and production that is based on intellectual capital, where knowledge, information, and skills are key resources
knowledge-intensive clusters | a network of people from academia, government, and the private sector that work together to exchange ideas, plan projects, and conduct joint research
Korean language family | a language isolate primarily spoken in Korea, known for its unique script and grammatical structure (AKA Korean)
Kra-Dai language family | a language family primarily found in Southeast Asia, including Thai and Lao, known for its tonal languages (AKA Tai-Kadai language family)
kraal system geography | traditional African settlement patterns characterized by circular enclosures for livestock
Kurgan theory | the idea that Proto-Indo-European spread from the steppes of Ukraine and Russia through Kurgan migration and conquest around 4000–3000 BCE
Kyoto Protocol | an international agreement that commits countries to reduce greenhouse gas emissions, impacting environmental policies
L1 (Four-Level Analysis) | the ability to understand and interpret information, demonstrating grasp of concepts and ideas at a foundational level (AKA comprehension)
L1 (Geo-Inquiry) | formulating focused, relevant questions that guide the investigation and exploration of geographic issues or phenomena (AKA ask)
L2 (Four-Level Analysis) | the process of recognizing and naming key elements, concepts, or themes within a given context, establishing a clear understanding of their significance (AKA identification)
L2 (Geo-Inquiry) | gathering qualitative and quantitative data from various sources to support the investigation, ensuring a comprehensive understanding of the topic (AKA collect)
L3 (Four-Level Analysis) | the ability to articulate reasons and relationships behind concepts or events, providing in-depth insights into their implications and context (AKA explanation)
L3 (Geo-Inquiry) | representing data and findings through maps, graphs, and other visual tools to enhance comprehension and identify patterns (AKA visualize)
L4 (Four-Level Analysis) | the capacity to forecast potential outcomes based on analysis of existing information and trends, applying knowledge to anticipate future developments (AKA prediction)
L4 (Geo-Inquiry) | developing solutions, projects, or presentations that synthesize findings and propose actionable recommendations based on the inquiry process (AKA create)
L5 (Geo-Inquiry) | implementing strategies or actions based on the inquiry's findings, aimed at addressing the geographic issues identified during the investigation (AKA act)
labor force participation rate | the percentage of the working-age population that is actively engaged in the labor market, either employed or seeking employment
labor-intensive | requiring a large amount of human labor to produce its goods or services
labor-oriented industry | an industry that heavily relies on a large workforce to produce its goods (AKA labor-dependent industry)
land cover change | the study of how land is used and the impact of changing land use
land degradation | long-term damage to the soil’s ability to support life (AKA environmental degradation)
land reclamation | the process of creating new land from oceans, riverbeds, or wastelands for agriculture or urban development
land tenure | the legal protection of contracts to show ownership of the land or structures
land use | how land is utilized, modified, and organized by people
land use change | the transformation of land for different purposes, impacting ecosystems and communities
land-use change | the transformation of land from one use to another, such as from agricultural to urban, often influenced by economic development and population growth
landforms | the natural features on the Earth’s surface
landlocked states | states without territory connected to an ocean
landscape analysis | the task of defining and describing landscape
landscape palimpsest | a geographic area where traces of past human activity are layered beneath current land use and cultural practices
landscape urbanism | an approach to urban planning that prioritizes landscape design and ecological systems in the development of urban spaces
language | the carrier of human thoughts and cultural identities
language branch | a subdivision of a language family
language endangerment | the process by which a language loses its speakers and may eventually become extinct
language family | a collection of languages that is connected through an origin that existed before recorded history
language group | a collection of languages within a language branch that have a common foundation in a recent period and share similar vocabulary and grammar
language hearth | the region from which a language originates
language tree | a diagram that illustrates the relationships and origins of different languages, depicting how they branch out from common ancestors (AKA linguistic family tree)
Lao | a Kra-Dai language spoken in Laos, characterized by its tonal qualities and cultural significance
large-scale maps | maps that show a smaller amount of area with more detail
latitude | distance North or South of the equator
least cost theory | a model developed by Alfred Weber that suggests industries will locate themselves where the combined costs of transportation for raw materials and finished products are minimized
liberalization | the process of reducing government restrictions and barriers to promote free trade and economic growth
Lidar | a remote sensing technology that uses light in the form of a pulsed laser to measure distances and create detailed maps (AKA light detection and ranging)
life expectancy | the average number of years people live
liminal geographies | spaces that exist at the intersection of different social, cultural, or environmental boundaries
liminal space | transitional or transformative spaces that exist between two distinct areas or states
linear phenomena | phenomena arranged in a straight line
linear settlements | settlements in which buildings and human activites are organized close to a body of water or along a transportation route
lingua franca | a common language used by people who do not share the same native language
linguistic diversity | the variety of languages spoken within a specific area or among a population
linguistic landscape | the visibility and salience of languages on public signage in a given area
linguistic refuge area | an area protected by isolation or inhospitable environmental conditions in which a language or dialect has survived
linguists | scientists who study language
livability | a set of principles that supports sustainable urban designs
livelihood diversification | strategies used by households to spread economic risk
livelihood geography | the study of how people sustain themselves economically and socially within specific geographic contexts
livestock ranching | raising animals like cattle or sheep on large open lands in dry areas
local food movement | a social movement promoting the consumption of locally produced food to support local economies and reduce environmental impact
local food systems | agricultural systems that emphasize the production and consumption of food within a specific area
local government | the administration of municipalities and regions, responsible for providing services and making decisions at the community level
local knowledge | the understanding and insights held by local communities about their environment and sustainable practices
local scale | the geographic scale consisting of a province, state, city, county, or neighborhood
local-food movement | seeking out food produced nearby
location | the position that an object occupies on Earth
location theory | a theory that explains the geographic location of economic activities and the factors that influence it
locational boundary disputes | boundary disputes in which two or more parties disagree on where a boundary should be, is mapped, or demarcated (AKA territorial boundary disputes)
locational inertia | the tendency of an industry or business to remain in its original location despite changes in economic or environmental conditions
locational interdependence | the idea that a business or industry's decision on where to locate is influenced by the locations chosen by its competitors
locational triangle | a geographical area formed by the fixed locations of a market and two raw material sources
logistical urbanism | the study of how supply chain systems influence the spatial organization of cities and urban development
long-distance migration | the movement of people over significant distances, often across countries or continents
long-lot survey system | a land survey method used in French colonial areas, dividing land into narrow strips to provide access to waterways
longitude | distance East or West of the prime meridian
lower-order services | basic, everyday goods and services that people require frequently and are willing to travel a short distance to access
luxury crops | crops that are not essential to human survival but have a high profit margin
M.S. Swaminatha | an Indian geneticist and prominent leader in the Green Revolution
maladaptation | an adaptation that has become less helpful than harmful
maladaptive diffusion | diffusion of a process with negative side effects
mall | a large, enclosed shopping center typically located in suburban areas, which draws customers from a wide range due to its variety of stores and services
Malthusian catastrophe | a predicted crisis resulting from population growth outpacing agricultural production, leading to famine and social unrest
Malthusian theory | Malthus’ ideas about population growth, which suggest that population increases will outpace agricultural production, leading to scarcity and famine
Mandarin Chinese | the most spoken language in the world, part of the Sino-Tibetan family, known for its tonal nature
mandirs | Hindu temples dedicated to deities, where rituals and ceremonies are performed, often featuring intricate carvings and iconography
manufacturing | the process of producing goods on a large scale using machinery, labor, and raw materials, often a key component of industrial economies
map scale | the mathematical relationship between the size of a map and the part of the real world it shows (AKA cartographic scale)
maps | a spatial representation of an area of land
maquiladoras | export-processing cities that exist throughout Northern Mexico
marginal lands | areas with limited agricultural potential due to poor soil quality or harsh climates
marginalization | the process by which certain groups are pushed to the edges of society, often leading to reduced access to resources and opportunities
maritime boundary | a demarcation line in oceans or seas that determines the territorial limits of states and their rights to resources
maritime culture | a culture characterized by its reliance on the sea for livelihood, trade, and transportation, often influencing settlement patterns (AKA oceanic culture)
market | a place where products are sold
market area | a zone that contains people who will purchase goods or services
market economy | an economic system where supply and demand dictate production and pricing, with minimal government intervention
market gardening | fruits and vegetables are grown near an urban market and sold to local suppliers
mass transit corridors | transportation routes designed for high-capacity public transit systems like buses or trains
McCormick reaper | a mechanical device that was used to cut and gather crops, particularly grain like wheat
McGee model | a model of urban land use patterns in Southeast Asian cities, particularly medium-sized ones, highlighting a central colonial port zone as the focal point, lacking a distinct CBD but featuring multiple commercial centers surrounding the port
mechanized seed drilling | a machine used to plant seeds in rows at a consistent depth and spacing
medieval urbanism | the characteristics and patterns of cities that developed during the Middle Ages, often reflecting social hierarchies and trade routes
Mediterranean agriculture | farming in areas with hot, dry summers and mild winters, producing grapes, olives, and citrus
megacity | a very large city, typically with a population of over 10 million, that often faces challenges related to infrastructure, housing, and services
megadrought migration | population movements triggered by prolonged periods of extreme drought
megalopolis | a large, sprawling urban area formed by the merging of multiple cities and their suburbs
megaregion | a large network of metropolitan areas that are interconnected through economic, social, and environmental factors
megregional planning | coordinated development across multiple metropolitan areas
mental maps | internalized representations of portions of Earth’s surface, influenced by individual experiences and perceptions (AKA cognitive maps)
mentifacts | intangible concepts of a culture without a physical presence
mercantilism | an economic theory that emphasizes the importance of accumulating wealth through trade and colonization
Mercator projection | a navigation map that preserves direction but distorts land mass size near the poles
Mercosur | a South American trade bloc established to promote free trade between its member countries (AKA the "Southern Common Market")
metabolic city | a concept describing urban areas as living systems that consume resources and produce waste
metabolic urbanism | a conceptual framework viewing cities as living systems that consume resources and produce waste
metacities | very large urban areas with a population exceeding 20 million people, essentially clusters of interconnected megacities forming a single, massive urban region (AKA hypercities)
metes | the specific measurements or distances that describe the boundary lines of a property
metes and bounds system | a method of describing land boundaries by using natural landmarks along with precise measurements of distance and direction
metropolitan area | a collection of adjacent cities economically-connected, across which population density is high and continuous (AKA metro area)
metropolitan statistical area | a geographical region with a high population density at its core and close economic ties throughout the area (AKA MSA)
microclimate | a local atmospheric zone where the climate differs from the surrounding area
microcredit programs | programs that provide loans to women to start or expand a business (AKA microfinance programs)
microlevel urban analysis | the study of urban patterns and behaviors at a small, localized scale
microloans | small, short-term loans with low interest intended to help people in need
micropolitan statistical areas | cities of more than 10,000 inhabitants but less than 50,000, the county in which they are located, and surrounding counties with a high degree of integration
microregionalism | a focus on the development and cooperation of small, localized regions within larger political or economic frameworks
Middle East | a geographic region encompassing parts of Western Asia and North Africa
Middle Passage | the brutal journey enslaved Africans endured across the Atlantic Ocean to the Americas
midlatitudes | the regions between 30° and 60° North and South of the equator
migration | permanent or semipermanent relocation of people from one place to another
migration corridor | a geographic area that serves as a pathway for migrants, often defined by specific routes taken
migration elasticity | the degree to which migration rates respond to changes in economic, social, or environmental factors
migration elasticity index | a measure of how sensitive migration flows are to changes in economic, social, or environmental conditions
migration network | the social and familial connections that facilitate the movement of individuals from one place to another
migration policy | guidelines and regulations established by governments to manage immigration, emigration, and refugee movements
migration stream | a constant flow of migrants moving from one area to another, often due to economic or social factors
migration transition model | a theory that explains how a country's development level and society type affect the type of migration that occurs within it (AKA Zelinsky Model of Migration Transition)
migratory pressure | factors that drive individuals or groups to migrate, often due to economic, social, or environmental challenges
militarized boundary | a boundary that is heavily guarded and discourages crossing
military conquest | gaining control over territory through armed forces
milk shed | the geographic distance that milk is delivered
milpa | a crop-growing system in the Yucatán peninsula area of Mexico
missionaries | individuals who travel to promote their religious beliefs, often establishing communities and spreading cultural practices in new regions (AKA religious envoys)
mixed crop and livestock farming | growing crops and raising animals, with crops feeding the livestock, common in mid-latitude regions
mixed economy | an economic system that combines elements of both capitalism and socialism, incorporating both private and public sectors
mixed nitrogen and nitric acid fertilizer | a type of fertilizer that contains both nitrogen and nitric acid, used to improve soil fertility and enhance crop growth
mixed-use development | urban projects that combine residential, commercial, and recreational spaces in a single area, fostering vibrant communities
mixed-use neighborhoods | urban areas where residential housing is combined with commercial spaces like shops and businesses within close proximity, allowing for walking and easy access to various amenities
mobility | all types of movement from one location to another
models | representations of reality or theories about reality
monocropping | only growing one type of crop or raising one type of animal year after year (AKA continuous monoculture)
monoculture | a technique in which only one crop is grown or one type of animal is raised per season on a piece of land
monolingual | speaking only one language
monotheistic | having one god
Mormonism | a religious movement founded by Joseph Smith, centered on the Book of Mormon (AKA Latter-day Saint movement)
morphemes | the smallest units of meaning in a language, which can be words or parts of words, such as prefixes and suffixes
morphological urbanism | the analysis of the physical form and structure of urban areas to understand their historical and functional evolution
morphology | the study of the structure and form of words in a language, including how they are formed and their grammatical relationships
mosques | places of worship for Muslims, typically featuring a prayer hall and often a minaret for calling the faithful to prayer
Muhammad al-Idrisi | an Arab geographer who collected all known geographical information and assembled at the time (the 1100s) the most accurate representation of the world
multiculturalism | many diverse people living in one area, sharing cultural features
multiethnic | possessing a significant number of people who do not identify with the national majority as their own ethnic group
multilingual | speaking more than one language
multimodal transport | transportation using multiple forms of transport in a single journey
multinational corporation | a company that operates in multiple countries but is headquartered in one (AKA MNC)
multinational state | a country that contains multiple distinct ethnic groups or nationalities within its borders
multiplier effect | the potential of a job to produce additional jobs
multiscalar governance | decision-making processes that operate across multiple geographic scales, from local to global levels
multistate nation | a nation with a state of its own that also stretches across borders of other states
municipal | referring to the local government of a city or town and the services it provides
municipal government | a local government responsible for governing a specific city, town, or district
municipality | a local entity that is all under the same jurisdiction
Muslims | followers of Islam
mutual intelligibility | the ability of two people to understand each other when speaking
mythogeography | the study of how myths and stories shape perceptions of geographic places
nadir | the lowest point
narrows | a confined or restricted land or water passage
nation | a group of people who share a common identity, culture, language, or history, often living in a defined territory
nation-state | a political entity characterized by a defined territory and sovereignty, where the population shares a common identity
national mapping agency | a governmental organization responsible for producing and managing geographic data and maps for a country
national scale | the geographic scale consisting of one country
national-regional scale | the geographic scale consisting of a portion of a country or region(s) in a country
nationalism | the strong feelings and patriotism and loyalty one feels towards one’s country
nationality | based on people’s connection to a particular country
native speakers | speakers of a language learned from birth
nativism | an ideology that favors the interests of native inhabitants over those of immigrants
natural hazards | severe and extreme weather and climate events, such as hurricanes, earthquakes, and floods
natural increase | the growth of a population through the excess of births over deaths
natural resource curse | the paradox where countries with abundant natural resources often experience slower economic growth due to mismanagement and corruption
natural resources | items that occur in the natural environment that people can use
nautical mile | approximately 1.15 miles
neighborhood | a small social area within a city where residents share values and concerns and interact with one another on a daily basis
neo-Malthusians | people who still believe in Malthusian theory today
Neo-paganism | a modern revival of ancient polytheistic religions, often focusing on nature worship
neocolonial state | a country that is politically independent but economically dominated by a foreign power
neocolonial urbanism | urban development patterns influenced by former colonial powers' economic and cultural dominance
neocolonialism | the continued economic and political influence exerted by former colonial powers over former colonies
neogeography ethics | the ethical considerations surrounding the use of modern mapping technologies by non-experts for personal or commercial purposes
neoliberal geography | the study of how neoliberal economic policies shape spatial patterns and social inequalities
neoliberal policies | a set of reforms that reduced government regulations and taxation
neoliberal urban restructuring | changes in urban spaces driven by market-oriented policies such as privatization and deregulation
neoliberalism | an economic and political ideology promoting free markets, privatization, and limited government intervention in the economy
neolocalism | the process of re-embracing the uniqueness and authenticity of a place
net migration | the difference between the number of emigrants and the number of immigrants in a location
net migration rate | the difference between the number of immigrants and emigrants per 1,000 people in a given year
network society | a social structure based on digital networks and global connectivity
networked peripheries | peripheral regions that are economically or socially connected through digital or physical infrastructure despite geographic isolation
networks | a set of interconnected entities
new economy | an economy characterized by a focus on technology, knowledge, and innovation rather than traditional manufacturing and resource-based industries
new urbanism | an urban design movement promoting walkable neighborhoods and sustainable communities
New World | the Americas during the Age of Exploration, contrasting with the "Old World" of Europe (AKA the Americas)
niche market | a specific, defined segment of the market that is targeted for particular products or services
niche urbanism | urban development tailored to specific cultural, economic, or environmental niches
Nicholas Spykman | an American political scientist who developed the Rimland theory in the 1930s and 1940s
Niger-Congo language family | a large language family primarily in sub-Saharan Africa, encompassing languages like Swahili and Yoruba, noted for its diversity
Nilo-Saharan language family | a proposed language family in northeastern Africa, encompassing languages spoken around the Nile River
nirvana | a transcendent state in Buddhism characterized by the liberation from the cycle of birth and rebirth, achieving ultimate peace and enlightenment
nodal cities | command centers on a regional and occassionally national level
nodal hierarchy theory | a framework for understanding the ranking and influence of interconnected nodes within a regional network
node | the focal point of a functional region
noe-agrarian landscapes | areas where traditional agricultural practices are being revived or adapted for modern sustainability goals
nomadic herding | a type of extensive agriculture where people move their livestock seasonally across large areas of land to find fresh grazing pastures
nomadic urbanism | a planning approach that accommodates transient or mobile populations within urban environments
nomadism | a lifestyle characterized by moving from one place to another in search of food and resources
non-basic economic activities | actions that do not generate new money for the surrounding area, allowing for recirculation of the existing money in the area
non-governmental organizations | international non-profit agencies that operate independently of government funding (AKA NGOs)
non-renewable natural resources | natural resources that will be exhausted by human use
nonpoint source pollution | pollution that does not originate from a single source, making it difficult to control, often from agricultural runoff
nonspatial models | models that illustrate theories and concepts using words, graphs, or tables
nonunionized labor | labor that operates without the backing of a union to negotiate wages and working conditions (AKA individual bargaining)
North American Free Trade Agreement | a deal between the United States, Canada, and Mexico to make trade between the North American countries easier by removing extra taxes (AKA NAFTA)
North Atlantic Treaty Organization | a military alliance created by the United States and its allies in response to tensions with the Soviet Union (AKA NATO)
Not In My Backyard | a term used to describe opposition to the construction of facilities or projects in one's local area (AKA NIMBY)
nuclear family | parents and children
nutritional geography | the study of how geographic factors influence food availability, diet patterns, and nutritional outcomes
oasis | a fertile area in a desert where water is available
oceanic migration corridors | routes used historically or currently for large-scale human migration across oceans
office park | a cluster of office buildings usually located along an interstate, often forming the nucleus of an edge city
official language | a language designated by law to be the language of government
offshore urbanism | the development of cities or infrastructure on artificial islands or floating platforms in marine environments
offshoring | relocating business processes or services to another country to reduce costs
old age | ages above 64
Old World | Africa, Europe, and Asia, particularly in contrast to the "New World" of the Americas
oligopoly | an economic condition where a few companies dominate the supply of goods or services in a market
One-Child Policy | a population control policy implemented in China to limit families to one child
open boundary | an unguarded boundary that people can cross easily
open field system | a traditional agricultural system with communal land use and crop rotation practices
open-source geographies | the creation and sharing of geographic data and maps through collaborative platforms accessible to the public
operational boundary disputes | boundary disputes in which two or more parties disagree on how the boundary functions (AKA functional boundary disputes)
optimum population | the ideal population size for maximizing resource use and quality of life in a given area
organic farming | agricultural practices that avoid synthetic fertilizers and pesticides, focusing instead on natural methods for pest control and soil health
organic food | non-GMO crops produced without pesticides or synthetic fertilizers and grown with sustainable growing practices
Organization of the Petroleum-Exporting Countries | an organization focusing on the production of oil or petroleum (AKA OPEC)
orographic settlement patterns | communities located along mountain ranges influenced by elevation, slope, and climatic conditions
out-migration | the movement of people out of a specific area or region
outsourcing | contracting work to noncompany employees or other companies
overconsumption | the excessive use of resources, leading to depletion and environmental degradation
overfishing | depleting fish populations by catching them faster than they can reproduce
overgrazing | when livestock consume vegetation at a rate faster than it can naturally regrow
overlapping sovereignties | regions where multiple political entities claim authority over the same geographic space
overpopulation | having more people than it can support
overurbanization | a situation where urban growth outpaces economic development, often leading to inadequate infrastructure
packing | combining like-minded voters into one district to prevent them from affecting elections in other districts
Paganism | a term for various spiritual or religious beliefs that are not part of the world's major religions, often polytheistic
pagodas | tiered towers with multiple eaves, commonly found in East Asian cultures, serving as religious structures for Buddhist worship
paleoclimatology | the study of past climates and their effects on human settlement and migration patterns
paleodemography | the study of ancient populations based on archaeological and fossil evidence
paleogeography | the study of historical geographic conditions and how they have changed over time
Pama-Nyungan language family | a large language family in Australia, encompassing most Indigenous Australian languages
panhandle | a narrow strip of land projecting from the main territory of a state or region
paradigm shift | a fundamental change in approach or underlying assumptions, often leading to new ways of thinking or acting
paradiplomacy | international relations conducted by subnational governments, such as states or cities, to promote economic or cultural ties
parametric urbanism | an approach to urban design using algorithms and data-driven models to optimize city planning
parasitic urbanism | unplanned urban growth that relies on existing infrastructure without contributing to its maintenance
parastatal organization | a government-owned corporation or agency that operates commercially but serves public interests
parochialism | a narrow-minded focus on local or regional interests, often leading to resistance against broader, more global perspectives
Participatory Geographic Information Systems | a geographic information system approach that involves local communities in mapping and decision-making processes (AKA PGIS)
participatory mapping | a collaborative approach to creating maps that involve local communities in identifying important locations and resources
pastoral nomadism | moving with herds like sheep, goats, or camels to find grazing land in dry areas
pastoralism | a lifestyle based on the herding of animals
patterns | the arrangement of things in space
Paul Vidal de la Blache | a geographer who introduced the contemporary culture landscape
pedestrian cities | cities shaped by the distances people could walk
per capita | the amount of something per person
percent urban | an indicator of the proportion of the population that lives in cities and towns as compared to those that live in rural areas
perceptual ecology | the study of how people perceive and interact with their surrounding environment
perceptual region | a type of region that reflects people’s feelings and attitude about a place (AKA vernacular region)
peri-urban agriculture | farming activities located on the outskirts of urban areas
peri-urban ecotones | transitional zones between urban areas and natural ecosystems that serve as buffers for biodiversity and resource management
periférico | the outer ring of a city
periodic markets | markets here small-scale merchants congregate weekly or yearly to sell their goods
peripheral model | a model of urban spatial structure where a central city is surrounded by a ring of suburban areas with significant commercial and residential development occurring on the periphery
peripheral regions | areas that are less economically developed and often marginalized in global economic systems
peripheral urbanization | urban growth occurring at the edges of cities
periphery countries | nations with less developed economies, often reliant on exporting raw materials and experiencing economic instability
permaculture | a sustainable agricultural system that mimics natural ecosystems and aims to create self-sufficient and resilient agricultural environments
permafrost | a thick subsurface layer of soil that remains frozen throughout the year, found in polar regions
personal space | an invisible, usually irregular area around a person into which he or she does not willingly admit others
Peters projection | a map that accurately shows land mass sizes but distorts shapes, especially near the poles (AKA Gall-Peters projection)
petrochemical landscapes | geographic areas dominated by oil refineries and related industries
petrostate | a country whose economy is heavily dependent on oil exports and revenues
phenomenological geography | a branch of geography focused on understanding human experiences and perceptions of place
phonetics | the study of the sounds of human speech, focusing on their production, transmission, and perception
physical consequent boundary | a boundary that uses already-existing natural features to divide a territory
physical geographic boundaries | natural barriers between areas
physical geography | study of the spatial characteristics of various elements of the physical environment
physical landscape | every feature of the natural environment visible to the eye
physical maps | maps that show natural features
physiological population density | the population density calculated by dividing population by arable land, a better measure of a region's carrying capacity
pidgin language | a simplified mixture of two languages
pilgrimage | a journey to a holy place for spiritual reasons
place | a location on Earth distinguished by its physical and human characteristics
place branding | the marketing of a location to promote tourism, investment, or economic development, often emphasizing unique cultural or natural attributes
place memory | the collective memory of a group tied to a specific location, influencing identity and cultural practices
place theory | the idea that specific locations have unique cultural and social significance
place utility | a measure of an individual’s perceived satisfaction for approval of a place in its social, economic, or environmental attributes
place-based education | an educational approach that uses the local community and environment as a context for learning
placelessness | the concept of multiple modern cultural landscapes exhibiting a great deal of homogeneity
placemaking | a community-driven process in which people collaborate to create a place where they can perform their daily functions
planned communities | residential areas designed and developed according to specific standards and regulations
planners | professionals who develop land use plans to manage urban growth and development
plant domestication | the process by which wild plant species are cultivated and bred for human use
plantation | a large commercial farm that specialized in one crop
plantation agriculture | large-scale farming of cash crops like coffee or sugar, often in tropical and subtropical areas
plat maps | maps that show property lines and land ownership details
plate tectonics | the theory that explains the movement of the Earth's lithosphere, which affects landforms and geography
platial analysis | a method of study focusing on the meaning and importance of places to individuals or groups
plural society | a society combining ethnic contrasts
pluvial migration zones | regions experiencing population shifts due to changes in rainfall patterns
polar projection | a cartographic projection of the sphere in which the point of sight is at the center and the plane of projection passes through one of the polar circles
political ecology | the study of the relationships between political, economic, and social factors with environmental issues and changes
political enclaves | states, territories, or parts of a state or territory that are completely surrounded by the territory of another state
political factors | factors based on governmental policies
political geoeconomics | the analysis of how political power influences global economic networks and trade flows
political geography | the study of the spatial distribution of political processes and how they affect human behavior and interaction
political legitimacy | the general belief that a government has the right to rule and the authority to make decisions
political maps | maps that show human-created boundaries and designations
political party | an organized group of individuals with similar political ideologies and goals, seeking to influence government policy and gain power
political patterns | recurring arrangements or trends in political behavior, representation, and organization within a given area
political processes | the activities and procedures through which political power is exercised and decisions are made, including voting, lobbying, and policymaking
pollution | the introduction of harmful substances or products into the environment
pollution hot spots | areas with high levels of environmental contamination, often impacting human health and ecosystems
polycentric governance systems | political systems where multiple centers of decision-making operate independently but collaboratively within a region
polycentric urban regions | an area characterized by multiple cities or towns functioning as interconnected centers of activity
polysynthetic structure | a linguistic structure in which words are formed by combining many morphemes, often seen in languages like Inuktitut
polytheistic | having multiple gods
popular culture | when cultural traits spread over a large area and are adopted by various people
population density | the number of people in a certain area
population distribution | the pattern of human settlement
population explosion | a sudden increase in the population, often due to high birth rates and lower mortality rates
population inertia | the tendency for population growth to continue even after fertility rates decline due to a young age structure
population projection | a prediction of the future population of an area or the world
population pyramid | a graph that provides information on a population with axes of age and gender (AKA age-sex composition graph)
possibilism | the theory that argues that humans have more agency than environmental determinism would suggest
post-Fordism | a contemporary economic system that moved away from the traditional mass production methods pioneered by Henry Ford, towards a more flexible production model with smaller, specialized manufacturing units
post-industrial geographies | the study of landscapes transformed by the decline of manufacturing industries and the rise of service-based economies
postcolonialism | the study of the effects and consequences of colonialism and the responses of the colonized
postindustrial economy | an economy that no longer employs large number of people in factories but has people who provide services and process information
postmodern architecture | architecture that focuses on high-rise structures made from glass and steel
postmodernism | a reaction against modernist principles, emphasizing diversity, skepticism, and the idea that truth is subjective
potential workforce | people who are expected to be the society’s labor force (ages 15-64)
poverty line | the estimated minimum level of income needed to secure the necessities of life, often used to identify the poor
